,[Commits] Count,[Commits] Days since first,[Commits] Days since last,[Commits] Total lines added,[Commits] Total lines deleted,[Commits] Average additions,[Commits] Average deletions,[Commits] Average files changed,[Commits] Average message length (chars),[Commits] Per day,[Commits] Per day (True),[Commits] Maximum per day,[Contributors] Count,[Contributors Top-10] Average commits,[Contributors Top-10] Average participation weeks,[Contributors Top-10] Average additions,[Contributors Top-10] Average deletions,[Contributors Top-10] Average followers,[Contributors Top-10] Average following,[Contributors Top-10] Average public repositories,[Contributors Top-10] Average teams,[Contributors Top-10] Average stars,[Contributors Top-10] Average watchers,[Contributors Top-10] Average forks,[Forks] Count,[Forks] Per day (True),[Forks] Max per day,[Issues] Total comments,[Issues] Count,[Issues] Open,[Issues] Labels,[Issues] Average participants (beside creator),[Issues] Average assignees,[Issues] Average labels,[Issues] Average reactions,[Issues] Average closing time (days),[Issues] Average comment interval (days),[Issues] Average comments,[Issues] Average comment len (chars),[Issues] Average title len (chars),[Issues] Average body len (chars),[Issues] Per day,[Issues] Per day (True),[Issues] Maximum per day,[Issues] Closed to total,[Issues] Bugs to total,[Repo] Size,[Repo] Folders,[Repo] Files,[Repo] Topics,[Repo] Branches,[Repo] Age (days),[Repo] Workflows,[Repo] Programming Languages,[Repo] Milestones,[Repo] Watchers,[Repo] Deployments,[Repo] Readme length (chars),[Repo] Network members,[Pulls] Count,[Pulls] Closed to total,[Pulls] Total lines added,[Pulls] Total lines deleted,[Pulls] Average lines deleted,[Pulls] Average lines added,[Pulls] Average closing time (days),[Pulls] Average reviewers,[Pulls] Average comments,[Pulls] Average review comments,[Pulls] Average commits,[Pulls] Average assignees,[Pulls] Average body len (chars),[Pulls] Average title len (chars),[Pulls] Average files changed,[Pulls] Average labels,[Pulls] Mergeable to total,[Pulls] Merged to total,[Pulls] Created per day,[Pulls] Created per day (True),[Pulls] Maximum created per day,[Releases] Count,[Releases] Tags,[Releases] Total downloads,[Releases] Average body len (chars),[Releases] Average title len (chars),[Releases] Average assets,[Releases] Average asset downloads,[Releases] Average asset size,[Releases] Prereleases to total,[Releases] Per day created (True),[Releases] Per day published (True),[Releases] Downloads per day (True),[Stars] Count,[Stars] Per day,[Stars] Per day (True),[Stars] Maximum per day,[Workflow Runs] Count,[Workflow Runs] Successful to total,[Workflow Runs] Failed to total,[Workflow Runs] Skipped to total,[Workflow Runs] Average duration (ms),[Workflow Runs] Average success duration (ms),[Workflow Runs] Average failure duration (ms),[Workflow Runs] Average successes per day,[Workflow Runs] Average successes per day (True),[Workflow Runs] Average fails per day,[Workflow Runs] Average fails per day (True),[Contributors Top-100] Average commits,[Contributors Top-100] Average participation weeks,[Contributors Top-100] Average additions,[Contributors Top-100] Average deletions,[Releases] Drafts to total
[Commits] Count,1.0,0.33649927267606483,-0.19535472868393522,0.2661381185748693,0.24912677202745856,0.016125215574045604,0.0661665170521844,0.0051486197838255,0.1950452472910315,0.7859458393007952,0.5173497033313512,0.17150047822549055,0.5651878126917922,0.7268835966889968,0.7478123914280154,0.23969156012014325,0.23484887405140528,-0.15803248749554222,-0.21926666516735746,0.01198197846153117,,-0.1767658135440265,-0.15840218006074236,-0.18819038544780248,0.22728995650391115,0.17257637932407213,0.04468441158521555,0.6408662633924574,0.34962350320564667,0.45073678384359256,0.41266423268133445,0.041707752638843076,0.3930092820410539,0.3308072177864268,-0.07075122588510013,0.03174424146853356,0.011387209743444426,0.13089339744209338,0.23250459075720356,0.34141730773329354,0.18813626391038937,0.4531165247445371,0.4706357808997929,0.0910607189594841,0.11518416484879522,0.27381795998720865,0.2894464064788895,0.3751351448276915,0.18688166175134704,0.1890852966293266,0.1375701140024275,0.07742977839434885,0.23709148043825692,0.19583134466224217,0.28647104313352395,0.11250783772899425,0.10520443439644027,-0.08111133923603216,0.2273925969166938,0.552423846928279,0.021330950572257007,0.5396114019734973,0.35172888766658517,0.2877197691265311,0.34035565102545784,-0.13065602821619207,0.11133941023862437,0.2834203249041588,0.33240427641218084,0.27449832880632286,0.2245230219947521,0.3001807863793442,0.412343804783118,0.234769656837948,0.2422014080822313,-0.22021582375375268,-0.2989760122022046,0.5076634488908259,0.5385804699015632,0.2471403548692212,0.18460986878470792,0.4658295404963342,0.28854350603380224,0.5164722765296964,-0.052629793278249605,0.22184015377858982,0.04039008396719488,0.07350023607215019,0.02782706554770031,0.17591017865212613,0.18027056247332657,0.21858174118163548,0.07100213601119588,-0.0874747495033629,-0.008370643002121625,0.11445650617739331,0.33436861278074914,0.005216712967428821,0.0372633248549362,0.10541534345050453,0.2834404463856785,0.26378130978809133,0.22552537824435104,0.40657924264571305,0.49477034920437885,0.4320309389713971,0.6102279180433087,0.12206628905511509,0.5814380046494627,-0.14693430318160813,-0.04373144839597372,
[Commits] Days since first,0.0,1.0,-0.04348972806692642,0.04270544592197659,0.02682289922976214,0.027576851700351276,0.027219721681868703,0.045579144794086646,0.136322703103049,-0.01962730316251206,0.2548402069486883,-0.10313685346145077,0.18186026431980062,0.3981010174080567,0.3787872761210166,0.00950558419751697,0.01405766147191976,-0.05629656739175866,-0.21698984574315336,0.10372225738281186,,-0.08517666345418101,-0.055344072643842286,-0.09680351047692974,0.002908748995317786,-0.1248227523922699,0.12074818960611834,0.19644989219281683,-0.040156815089037824,0.06781669870653294,0.11128186513101081,-0.007575401426182861,0.11858893784375706,0.08535456226873363,-0.23421212470694772,0.3370865968412143,0.31367531994177467,0.19831028190685637,0.2117529340624337,0.3288220161563287,0.010824891492036502,-0.06386619352687903,-0.06508118240362251,0.15666528750057201,0.04835545502259894,0.0008367859764087465,0.12200916399342307,0.04167652305858342,0.10334804758468273,-0.09589786740672003,-0.04950384273720915,0.6408126033509189,0.12787221500493987,-0.022283633897997156,0.06355327585402551,-0.032972734435441596,-0.14256926102683237,-0.22180523577004815,0.00086293235749454,0.11599126437014161,-0.024057480068649523,0.1625234225296865,0.17503818326755605,0.14918083647224692,0.2862595878827302,0.24897676944510003,-0.06039079626838089,0.2687291857184637,0.1848532446140169,0.3184245192987791,0.12179923860631792,0.0252270406165794,0.430875578338158,0.16907087931484127,0.003153487844446478,-0.09088571833484975,-0.13600633162980114,0.01692774871911732,0.03628717844081056,0.011439128422358873,-0.06550811947683492,0.2556022786120167,-0.0887061674709077,-0.018074651603384905,0.09959968653696717,-0.1260264517373217,0.054828274577526565,0.020826860623424787,0.16276409371643286,-0.21027192462232983,-0.2639576879132532,-0.12256817960985601,-0.11183883375072724,0.17126456053165592,-0.28641274163564867,0.25328138807607636,0.0972429524957552,0.11174849947480384,0.12007198740945411,0.23921187671315763,-0.013746790131591809,-0.010617762383793675,-0.010945283697384423,-0.011939152455783114,-0.04034511758567413,-0.005489288298417617,0.04601592076376483,-0.04156732692236185,0.15070851745297822,-0.26097832880073085,-0.13585090219038143,
[Commits] Days since last,0.0,0.0,1.0,-0.09057031657905015,-0.07312460475081928,-0.05799562279741491,-0.06278409746175989,-0.05787628682495483,-0.2151702706311818,-0.043943179403545814,-0.07826261204364375,-0.050726587677281,-0.33595104813720283,-0.23448973367667347,-0.2670212959791857,-0.0837973117127342,-0.07935566603811436,0.03461903792367045,0.07716847942459877,-0.04310104510244672,,0.061827293974645106,0.04584628961061628,0.05894953332342885,-0.12739463735782494,-0.13985544494199542,-0.050136583702353195,-0.24589323677661606,-0.15671616379194217,-0.12334057903920483,-0.20488575405521373,-0.12181296248831483,-0.10260274585107339,-0.1899615440968681,-0.08336361529012891,-0.07606643621248549,0.130042731493408,-0.18724364128067297,-0.10631772914343594,-0.23924084723001754,-0.2491021639893505,-0.15477522674617614,-0.15816954018312915,-0.10153361539330981,-0.19321544571693042,-0.1886195156964085,-0.12482403642021134,-0.13768674364723293,-0.0950640575635503,-0.23119608738484526,-0.19110944744750252,0.04473945091594402,-0.2644275503324364,-0.06356982006947226,-0.014725231937153431,-0.08193980796526829,-0.09906707116571159,-0.028646267829551812,-0.12838587964111145,-0.1957466472380068,-0.14738484251244197,-0.15448273750477326,-0.11048048811761203,-0.06677273169029425,-0.10384909200806396,0.033778448114030045,-0.1255389288970272,-0.22928216735209805,-0.24227104593914323,-0.08495795823379364,-0.12932613919346483,-0.09856659567113225,-0.12806225890362916,-0.02876264601979651,-0.1807168934994003,0.3503306580617839,0.10385951545301722,-0.1663121679685651,-0.1848117065982776,-0.1973126387237421,-0.05553931632041807,-0.11011270851649561,-0.10126369853169917,-0.14937238982557594,0.09253115552863331,-0.06762565572978411,-0.09728472187056651,-0.06690643915535315,0.04174787518300723,-0.050451305703989285,-0.0508781357391318,-0.09970146691507845,-0.10877231616744082,0.1418700606916964,-0.12951776497017664,0.15388175728159062,-0.11693921003443765,-0.33858504551677293,-0.23165498062296555,-0.04625793800251674,-0.14645040632844417,-0.12295611088312561,-0.11685246929232693,-0.14334012582398611,-0.12919264825422705,-0.17192120148357787,-0.13454857823205887,0.7074187642158435,0.1823210901186579,0.9573754098645856,0.9135351394,
[Commits] Total lines added,0.0,0.0,0.0,1.0,0.9578690145014584,0.728837387847963,0.8768135833297952,0.5997929593792214,-0.0424690252316715,0.33319891152614145,0.11727449003432902,0.4092559891561312,0.10807879152331096,0.2808158758639292,0.18709167868102355,0.8435604653961621,0.8424184872112936,-0.0666763543388673,-0.11263404849566509,-0.14604252247621452,,-0.08490365439399832,-0.09610937044194945,-0.09228802802419894,-0.00489687522621671,-0.01594248054323683,-0.0422196768769572,0.05896156572994769,0.032348793119995216,0.02507919777832966,0.10223545731455719,0.031983799620692324,0.02485226650757964,0.020958315099908604,-0.035420082048148754,-0.03668734748508203,-0.021302259321481026,0.045254264627564905,0.2779027330100607,0.1699100778904327,0.07399864567013564,0.008980051990793972,0.02013196701992234,-0.006786716606411577,0.045919440690189404,0.00886393813366897,0.587396631017181,0.18300067764752606,0.5452000887500231,0.04768160953295604,0.016379957798420233,0.05102290885441697,0.04340582709435608,-0.05520315499984018,-0.02530395053694363,-0.018115411286355788,0.03191394200400815,-0.010977018187111633,-0.005347257021432832,0.07283316720221697,0.05649589870887051,0.1350799082416602,0.10116979350724628,0.24558007402708826,0.23539731423188565,0.03831103294050526,-0.01261008052213025,0.029175608618327364,-0.0028182359374104215,-0.005539914082759035,-0.008213277867803967,0.04735443272746616,0.11508731934946333,0.12457491830500476,-0.022576430851948392,-0.10390564237747081,-0.16208508762985105,0.0661175631348559,0.08466193391700012,-0.013947037914808585,-0.028078225311063045,0.31017230950845986,0.08813330656838637,0.06787108931568403,-0.02151893874986792,0.04714948459705192,0.02312900230023615,0.07274882404329852,-0.03935051621282768,-0.04204073653333854,-0.0445526798038072,0.05848352622644841,-0.02998700259910565,-0.03664060349538255,-0.033547535908531774,-0.0058085705678142235,0.2267385440055087,0.04271830544073897,0.035613779938308145,-0.007880809956612668,0.47814582867598737,0.5857005701129705,0.14676214297848839,0.2699271671491587,0.19050424677865602,0.13470209516713538,0.06219853034528054,0.730954001470484,0.3252823407832215,0.9966693717601213,0.9888273972146032,
[Commits] Total lines deleted,0.0,0.0,0.0,0.0,1.0,0.5196019305417326,0.7307815308037567,0.3656139468415868,-0.05085112787170868,0.3460919512322713,0.10348210582875253,0.4712985447220766,0.07990531526453595,0.2948858436519429,0.17720935030581816,0.9437260095946388,0.9460935902393327,-0.05010232986191373,-0.09259285021757213,-0.10553741563610367,,-0.06909339220059793,-0.07277584238316964,-0.07401182425727103,-0.0069611899348219035,-0.016433376672344138,-0.036292967430016886,0.03466388597101841,0.01602419537007129,0.01947927045272205,0.09770341493841851,0.015745881574664708,-0.012141093734717154,-0.0037774039148349213,-0.04090647769479915,-0.02938370725359121,-0.015871887282826725,0.028570686599805044,0.2743452156030929,0.11775469934886737,0.05730380695248069,-0.006367309981436536,0.0046073079622235905,-0.013016044076523108,0.021907980316144167,0.003491387475520418,0.3799646953187809,0.09249036412880364,0.294282460008766,0.04498386197258254,-0.0017486340280430538,0.031123233953526803,0.03711061559026943,-0.044964816891239774,-0.013998582883175355,-0.012588434935206167,0.04207685177138181,-0.011339878220022673,-0.007330800224256559,0.04003460168628187,0.05990363420950065,0.10258504214118486,0.09898037339313924,0.26306720029961717,0.2496328405242217,0.02116191949054155,-0.014027315122193983,-0.0010894528821068451,-0.013730287646081458,-0.009321225470058597,-0.026264576855196967,0.013522204681540494,0.05831142094725761,0.09432394214976236,-0.03281885880979853,-0.0855489594604654,-0.15621537724002765,0.03406636074527443,0.046435199238482106,-0.021090276883188822,-0.01920933203109375,0.15928217110983253,0.0846466867500169,0.030371640638215312,-0.01565297426006508,0.051188733305879724,0.00363425328629845,0.014489705542959481,-0.047655290887688995,-0.04406619527402392,-0.046730929999491015,0.05283628187844874,-0.021699975504758495,-0.03803861622518525,-0.027092616300369673,-0.012263889484710947,0.11843050670366728,0.01022995580809695,0.062358647377388124,-0.007290149217320181,0.5511529488871028,0.6692851568912822,0.1747301716552621,0.13987957093269637,0.09763739533149508,0.1545817703833135,0.030296282464732507,0.7107809103770036,0.34510265265712553,0.9816984851497232,0.998194894676945,
[Commits] Average additions,0.0,0.0,0.0,0.0,0.0,1.0,0.9551859344329228,0.9720592911730458,-0.058708065344677575,0.013640164880765443,-0.004196496152937294,0.11469974526917211,0.024051600431651023,0.009452830538534253,-0.023945023391965994,0.28592652125998974,0.28305243756182746,-0.055615893173432504,-0.07471166880341089,-0.14281602271386742,,-0.06453973565691629,-0.08476046509517496,-0.07206878436846217,-0.013548025175398444,-0.018403983461564962,-0.04628772241239818,0.0184927224338711,0.013139234611636389,-0.023692740783620332,0.03839270827798217,0.06628310159495818,0.03357108802354105,0.03382410429364861,0.006716074258749072,-0.049595268834349296,-0.017818592419998138,0.061875338509076,0.12891063156030017,0.17787769951316648,0.06486843700901788,-0.013439650942909916,-0.010059012776379361,-0.013161323012379295,0.07114726632577338,-0.008157619362285515,0.8376203146035069,0.24084958456145555,0.9249703663558401,0.023974649484507532,0.013481307756345259,0.09333532114616187,0.0020449772723756914,-0.11396355443295829,-0.06604236807303984,-0.028176169447711695,-0.008451379820547751,-0.004641048139413109,-0.013941229915335352,-0.022922727997782118,0.010522436868202053,0.001428629577227491,0.01569780836760512,0.11000209925710744,0.06762531252572973,0.10339615146805614,-0.0273411251761256,0.014323426779641622,-0.055211682661384154,-0.03503932338501628,0.002576936517163113,-0.010819055843877379,0.09286929721555413,0.1475964476757915,-0.05606588732095274,-0.06540965396571362,-0.10247177345629488,-0.03896064953381616,-0.02238424833320002,-0.05568058274580995,-0.04622286684520977,0.480881558809204,0.07501505368904303,0.007413541520754493,0.02559638322812962,0.009480359889665913,0.03746372226188071,0.20472056042806516,0.059600740822018446,-0.014035958946208236,-0.005932408093149937,0.051310369381490355,-0.03471494361989381,0.014565460066546975,-0.025262368959182237,0.00384833174213948,0.28881186222194166,0.10515508952299431,-0.023660758503681628,-0.01827931211179141,0.11431267529172737,0.15928836538232957,0.011140978421939268,0.35511197419998064,0.19062039081547835,-0.04764170372396799,-0.05046011663437804,0.7109324718619146,0.2698333158279833,0.99843801612167,0.9801286400565958,
[Commits] Average deletions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.887335527609079,-0.0825524052791051,0.0897953058330874,0.009053353426480015,0.23998432205019865,0.03145033831641918,0.08266282782502242,0.0158088627432688,0.52341136129419,0.5244080820749312,-0.05676947656984988,-0.07550419780089071,-0.13130336559042552,,-0.07059296051712226,-0.08537033042111317,-0.07635650039750838,-0.013769146651959482,-0.021694481700180655,-0.04840678532656028,0.015638298003424488,0.00891520229552801,-0.022498696119343606,0.05508253945398633,0.061072743110196545,0.0259954011759896,0.02456333774660385,-0.016810971176294015,-0.054710551862065714,-0.01571926225487854,0.061551316431674725,0.16160416433486008,0.17157852420946307,0.06757996946408411,-0.018741712130703254,-0.015195155732266838,-0.015508231683198344,0.07460263597049561,-0.011769315402007086,0.7745471365559207,0.18671133791506844,0.8113568185733909,0.03494505998337718,0.002969009133846785,0.09443012930922237,0.0029231119080837063,-0.11730752378258807,-0.06346582941487015,-0.025476954349973942,0.008101967359764057,-0.01803054172779073,-0.014189647628371665,-0.026994214293065262,0.032671734384776316,0.011734356430012444,0.039768677985598654,0.1790022739688804,0.12621262109135525,0.08460055762058125,-0.04369083739481245,-0.0010513012946079677,-0.06774262687885695,-0.03447506594169266,-0.012210971912720156,-0.020453043639365093,0.0722557592776659,0.15269808890708086,-0.07287429770178001,-0.07929014753664683,-0.12473408109193407,-0.04257822287180343,-0.02929013705953147,-0.0667414860105963,-0.03801215486570273,0.42068381867965854,0.10111401147697907,-0.019537758633434755,0.0251291150687705,0.046046614504099866,0.015507163048937738,0.04962598687061854,-0.02456128346787102,-0.02618578725070523,-0.023286020912426427,0.06334977087524336,-0.034069709613180885,0.01840559020387864,-0.03155612128589027,0.005641257027315508,0.25229433572544113,0.07916705242762963,-0.003582156161177232,-0.01929830258155957,0.2625224389619793,0.33453056233015954,0.06298329373836814,0.30926045530260793,0.16483042071249143,0.003466325500453564,-0.049521543023661733,0.7084034524312931,0.2952769457748656,0.9911963685594612,0.9938814405611317,
[Commits] Average files changed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06145802552005452,-0.030872937540049078,0.0020650807104052975,0.030715276222694016,0.04313950663790989,-0.021698842452284293,-0.034564200670917436,0.11644469832218154,0.11665174751823201,-0.05604807383074149,-0.06811116528453097,-0.1491372560237343,,-0.06248655496615056,-0.08480609166225266,-0.0677209946487869,-0.0015126771620044928,-0.005664949385555585,-0.03134439778965378,0.032121484736649906,0.022769961953441203,-0.014503540747676916,0.03538221123197398,0.07296645626756527,0.05365517474992519,0.07591139711634352,-0.007734473612365774,-0.03686225234152721,-0.011434566727331296,0.07102173406573513,0.07472536913901792,0.1944477929907525,0.07396872398132358,0.0028812964414244215,0.005664025806258288,-0.018159475479475003,0.08737216320559124,0.01031545632523032,0.8502776139864945,0.28149552711259623,0.9564592746853529,0.0360718084223515,0.03556411411291128,0.10865403683277014,0.011319444830254058,-0.12181354781651937,-0.0444439694358009,-0.022870364234293578,-0.0027210249265462627,0.004766109933781603,-0.0017043588088050884,-0.007156877321441981,0.017402504003456554,-0.006835939421275204,-0.001988604479593129,0.04177976826640105,0.0023541322119899127,0.08931195953565316,-0.03647148499719688,0.029801160677706932,-0.039418110395980276,-0.03127465550580006,0.026032715089600957,0.0011640896095381984,0.11349373035361653,0.13086207733283173,-0.050692071848984464,-0.07685124199805364,-0.06392221311294702,-0.02100865775858241,-0.00758825523032356,-0.013347152971700768,-0.030633891403104036,0.5209825778321,0.0457002071940047,0.07680589878315916,0.14617209866023606,-0.11314768828613568,0.1898932665657614,0.06894326341048305,0.07603439975362704,0.05249355855983548,0.03746080372546998,0.056093148385437754,-0.03737991855852948,0.04121112222116044,-0.021633357120578452,0.010629584727150027,0.3060392915913827,0.11335652658162415,-0.03651695717900031,-0.00598147581199744,0.04342559756608013,0.06517567755505287,0.007026149901363592,0.37282847517676093,0.20722055955044694,-0.0407366126740586,-0.028494681959779104,0.6957615474866706,0.5986389609131665,0.8462322974712949,0.8373974582074075,
[Commits] Average message length (chars),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07799447648174718,0.09338245920771648,0.12217498712688149,0.3158950403305049,0.20810825824446233,0.3501189594928703,-0.01148630438688007,-0.02618464742134618,-0.05696629958151954,-0.1606128313080694,-0.057471737184524106,,-0.08330197058612239,-0.08289185061367285,-0.09493067087135819,0.06884942054591647,0.01963587242562719,-0.03018405514714742,0.2897861526643137,0.09109898343059392,0.14378366026846354,0.20213932802252346,0.21453655886890374,0.22401075803865553,0.20892069891866158,0.035199524410347474,0.1110113700799511,-0.048976050962803774,0.2956961554867191,0.26939355950989097,0.3712426250353274,0.18605192578589896,0.1102055754798161,0.11694986971178284,0.18618401654049585,0.0917856597823936,0.11814494617136506,0.07181054369852376,0.21044552837686265,0.036461341300155596,-0.11215827627060933,0.06036922521803022,0.01693653140234354,0.09766023133017085,0.17887530532413803,0.026553934938612522,0.05709965192868919,0.11722943440250541,-0.1253692991351655,0.07134494960514684,0.24979631269760788,0.13880842688974548,0.24232152025460355,0.19602096003619982,0.07203917640793489,0.1595068853324691,-0.040388448037867224,0.34068995752843456,0.20786648429636656,0.32763267317212774,0.14842937084845326,0.1089278713315939,0.23123019506636003,0.32081660194926537,0.04113236403338692,0.4005492010476006,-0.2066260916338715,-0.2282221771817623,0.24086606188338502,0.22459874720081657,0.29033647356918507,-0.03962007006697594,0.059473441423580665,0.1814860496297256,0.18350867992432499,0.0439871850865127,0.1447493861459176,0.04547810665179611,0.14431589453970353,0.09230839397069811,-0.01619564652677597,0.016094308522549373,0.14446852487206693,0.0336276117154005,-0.13924795456766884,0.00446947461112339,-0.03051607004879396,0.05918325330666142,0.1418574807446595,0.16997661243326775,-0.04246383631673104,0.07867135017186054,-0.02551040657529659,0.19741380053722232,0.0557084361135676,0.07392780716148875,0.033330930551014985,0.15419720470672035,-0.6079642742459963,0.000828061811361189,-0.6638130477886501,-0.5400117133204506,
[Commits] Per day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2578880111802614,0.3783470962813977,0.388519122598841,0.49098620814966343,0.4553876980863311,0.35094082913817976,0.3444221463305433,-0.13989981687657374,-0.15509977378106254,-0.025206290257370412,,-0.14480783932611263,-0.13279032502799631,-0.15850859907243864,0.18339003539414647,0.15695321996911765,0.010944361094985235,0.4165928424864078,0.3929474737147041,0.37643154962305336,0.2696873556136661,0.00960298856533473,0.2963091314351018,0.21134742758390776,-0.03094108866889391,-0.0007269998783229072,-0.030161939217800946,0.053623767665537975,0.1232595770205424,0.10861297745544068,0.06426463501700429,0.4030512376905177,0.39974037621404573,-0.011372900604465082,0.026887335273623646,0.24969569820972767,0.23103376557824565,0.3403513266391233,0.10272630239872346,0.17607173431172982,0.08474059247849308,-0.05715271455289837,0.19371613514300018,0.15424968763099725,0.3597164387286147,0.09249639026774768,0.17207645548657463,-0.0038372782307251802,0.18397586366136753,0.47433179113739715,0.08218677173643152,0.4703566510626698,0.2094183238939957,0.15393518986264862,0.20772009582343778,-0.15130799974719578,0.12098396945279948,0.14629347155412262,0.15871396338905278,0.1510097465798019,0.20603998043333158,0.3301314073831562,0.11192704186133424,0.13404975839472222,0.22240565045224772,-0.18427418364427767,-0.2374761163945803,0.49775570119979456,0.4995138578669023,0.2439817237321381,0.18179492838129815,0.20295521906102734,0.3023931421705414,0.44277164100267363,0.0022628048281991583,0.22781876707598203,-0.00017966969984981425,0.023436953032197016,0.048961271194074577,0.1410071695290467,0.15938970851067086,0.26601682707870244,0.08755559224114984,-0.12894224138352353,0.06280065358892836,-0.029831821778706406,0.33278416619180085,-0.09827266594619981,0.0025674624123449134,0.01579329829524344,0.41807828456960355,0.3925388504377051,0.3292240566203416,0.5154425332057551,0.5475877675521796,0.5760965459199989,0.6140714648979645,-0.4575295490145525,-0.4916594137333058,-0.6092792776058138,-0.6385544834320926,
