,Activiti/Activiti,airbnb/lottie-android,alibaba/arthas,alibaba/fastjson,alibaba/Sentinel,alibaba/spring-cloud-alibaba,android-async-http/android-async-http,ansible/ansible,apache/beam,apache/cassandra,apache/dubbo,apache/hbase,apache/jmeter,apache/nifi,apache/shiro,apache/solr,apache/storm,apache/struts,apache/tomcat,apache/zookeeper,apereo/cas,aws/aws-sdk-java,Baseflow/PhotoView,bazelbuild/bazel,bguerout/jongo,bitcoin-core/secp256k1,bitcoinj/bitcoinj,Blankj/AndroidUtilCode,braintree/braintree_java,bumptech/glide,cabaletta/baritone,checkstyle/checkstyle,chef/chef,cqfn/eo,CymChad/BaseRecyclerViewAdapterHelper,dbeaver/dbeaver,docker-java/docker-java,DroidPlanner/Tower,dromara/hutool,dropwizard/dropwizard,EbookFoundation/free-programming-books,exercism/java,facebook/fresco,facebook/litho,florent37/SingleDateAndTimePicker,gokcehan/lf,google/auto,google/ExoPlayer,google/google-java-format,google/gson,google/guava,google/j2objc,graphql-java/graphql-java,grpc/grpc-java,hamcrest/JavaHamcrest,iluwatar/java-design-patterns,JakeWharton/butterknife,jamalex/notion-py,javaparser/javaparser,jenkinsci/jenkins,jhy/jsoup,jnr/jnr-posix,jobobby04/TachiyomiSY,json-path/JsonPath,junit-team/junit4,jwtk/jjwt,kontalk/androidclient,libgdx/libgdx,liquibase/liquibase,medyo/android-about-page,microsoft/PowerToys,MinecraftForge/MinecraftForge,mockito/mockito,mongodb/mongo-java-driver,moquette-io/moquette,Multiverse/Multiverse-Core,mybatis/mybatis-3,Netflix/astyanax,Netflix/governator,Netflix/Hystrix,Netflix/Priam,netty/netty,nocodb/nocodb,nostra13/Android-Universal-Image-Loader,openhab/openhab-addons,openmrs/openmrs-core,OpenRefine/OpenRefine,opentable/otj-pg-embedded,PhilJay/MPAndroidChart,prestodb/presto,project-travel-mate/Travel-Mate,puppetlabs/puppet,pusher/pusher-websocket-java,querydsl/querydsl,rackerlabs/blueflood,Rajawali/Rajawali,ratpack/ratpack,ReactiveX/RxJava,realm/realm-java,RediSearch/RediSearch,redisson/redisson,redis/jedis,requery/requery,rharter/auto-value-gson,sachin-handiekar/jInstagram,scala/scala,scribejava/scribejava,simpligility/android-maven-plugin,sksamuel/scrimage,skylot/jadx,spring-cloud/spring-cloud-gateway,spring-cloud/spring-cloud-gcp,spring-cloud/spring-cloud-netflix,spring-projects/spring-boot,spring-projects/spring-roo,spring-projects/spring-security,square/dagger,square/javapoet,square/leakcanary,square/moshi,square/okhttp,square/picasso,square/retrofit,StackExchange/StackExchange.Redis,stanfordnlp/CoreNLP,stleary/JSON-java,swagger-api/swagger-core,tachiyomiorg/tachiyomi,tdebatty/java-LSH,telegramdesktop/tdesktop,Tencent/tinker,testcontainers/testcontainers-java,TheCherno/Hazel,tony19/logback-android,vifm/vifm,zxing/zxing
[Commits] Count,10768.0,1358.0,1659.0,3933.0,713.0,1838.0,899.0,,33534.0,27038.0,5172.0,18838.0,17501.0,6863.0,2203.0,35399.0,10460.0,6118.0,23722.0,2368.0,20323.0,3096.0,462.0,31006.0,1069.0,1438.0,3699.0,1319.0,1934.0,2612.0,2787.0,10817.0,,1124.0,1207.0,,2070.0,5375.0,2803.0,6088.0,6941.0,2450.0,3029.0,13393.0,395.0,756.0,1361.0,12340.0,618.0,1599.0,5663.0,5405.0,2860.0,5115.0,765.0,3170.0,1016.0,233.0,7811.0,31695.0,1609.0,816.0,5437.0,921.0,2480.0,487.0,7144.0,14784.0,10092.0,310.0,5492.0,7909.0,5661.0,7664.0,1335.0,1304.0,3869.0,1018.0,1112.0,2109.0,1456.0,10631.0,1527.0,1038.0,1639.0,11541.0,6165.0,412.0,2070.0,19370.0,576.0,,569.0,7977.0,2981.0,2121.0,6164.0,5948.0,8827.0,3588.0,6896.0,1854.0,849.0,261.0,414.0,,1235.0,2752.0,1232.0,1543.0,1965.0,1292.0,2898.0,34667.0,6402.0,9860.0,703.0,846.0,1631.0,939.0,4926.0,1370.0,1924.0,1864.0,16791.0,913.0,3985.0,3937.0,82.0,11077.0,735.0,2947.0,243.0,4238.0,11773.0,3620.0
[Commits] Days since first,4165.0,1917.0,1169.0,3757.0,1208.0,1441.0,3918.0,,2525.0,4638.0,3676.0,5336.0,8471.0,2530.0,5965.0,7368.0,3710.0,5742.0,5709.0,4924.0,4131.0,4252.0,3405.0,2452.0,3615.0,3179.0,3905.0,1930.0,4279.0,3248.0,1203.0,7448.0,,1835.0,2042.0,,3058.0,3188.0,821.0,3839.0,2958.0,3081.0,2425.0,1689.0,1806.0,1917.0,3095.0,2706.0,2401.0,4820.0,4529.0,3354.0,2321.0,2747.0,5730.0,2651.0,3174.0,1086.0,3666.0,5485.0,4317.0,4987.0,2241.0,3945.0,7649.0,2617.0,3822.0,4269.0,4581.0,2031.0,2885.0,3775.0,5111.0,4692.0,3600.0,3916.0,4197.0,3774.0,3526.0,3526.0,3741.0,4844.0,1479.0,3637.0,4282.0,5673.0,4217.0,3559.0,2758.0,3382.0,2113.0,,3249.0,5014.0,3006.0,3781.0,4133.0,3526.0,3493.0,2039.0,2881.0,4172.0,2116.0,2306.0,3763.0,,4085.0,4973.0,3084.0,3160.0,1821.0,1693.0,2681.0,3308.0,4564.0,6449.0,3426.0,3426.0,2380.0,2652.0,3824.0,3191.0,4084.0,2804.0,3059.0,3978.0,3759.0,2241.0,2480.0,2755.0,1878.0,2406.0,1123.0,5660.0,4681.0,5134.0
[Commits] Days since last,10.0,6.0,8.0,31.0,58.0,11.0,298.0,,0.0,0.0,5.0,1.0,8.0,23.0,20.0,0.0,8.0,1.0,0.0,6.0,1.0,0.0,296.0,0.0,151.0,3.0,9.0,145.0,108.0,6.0,20.0,5.0,,1.0,239.0,,10.0,1460.0,5.0,1.0,1.0,9.0,1.0,4.0,402.0,23.0,4.0,8.0,17.0,5.0,0.0,8.0,14.0,7.0,389.0,12.0,434.0,284.0,9.0,0.0,10.0,16.0,9.0,5.0,37.0,31.0,35.0,3.0,0.0,173.0,0.0,12.0,6.0,0.0,96.0,31.0,10.0,86.0,50.0,1088.0,72.0,1.0,1.0,584.0,5.0,7.0,1.0,11.0,144.0,58.0,40.0,,1.0,12.0,43.0,49.0,133.0,9.0,3.0,7.0,8.0,10.0,618.0,153.0,967.0,,101.0,111.0,105.0,1.0,6.0,114.0,9.0,6.0,891.0,6.0,331.0,187.0,42.0,4.0,11.0,79.0,7.0,4.0,5.0,10.0,39.0,9.0,871.0,3.0,12.0,10.0,59.0,541.0,3.0,21.0
[Commits] Total lines added,8310435.0,122432.0,244391.0,799527.0,167770.0,553069.0,44931.0,,14154262.0,3239411.0,1408510.0,6396864.0,1632294.0,3131474.0,584300.0,10720188.0,4454308.0,2800627.0,2136438.0,553585.0,5647444.0,64023171.0,25221.0,8940992.0,61869.0,144839.0,497219.0,2671624.0,152586.0,396715.0,136640.0,1193552.0,,100115.0,96534.0,,286020.0,1490893.0,799312.0,319185.0,69593.0,167871.0,1985138.0,2734432.0,25361.0,27250.0,182695.0,9023122.0,51762.0,361709.0,1702350.0,8446274.0,1166338.0,1149174.0,512290.0,823531.0,85635.0,7091.0,2367648.0,4933423.0,87696.0,37974.0,573712.0,142521.0,319710.0,66459.0,532207.0,14242518.0,2303562.0,5909.0,2703091.0,2172248.0,504387.0,1462158.0,118468.0,82354.0,680105.0,512403.0,147148.0,351419.0,194438.0,1242698.0,1742425.0,47222.0,1872549.0,4568465.0,2542684.0,14533.0,232680.0,2926067.0,402975.0,,47152.0,957593.0,314541.0,624613.0,827285.0,1744573.0,2385870.0,1198763.0,1049469.0,390077.0,223362.0,20118.0,55217.0,,80300.0,396407.0,124279.0,264933.0,172450.0,152906.0,312745.0,2270554.0,1518298.0,2503107.0,75983.0,61894.0,212300.0,97423.0,627051.0,79752.0,187469.0,884332.0,99231518.0,112053.0,1190023.0,342210.0,5969.0,2418054.0,110864.0,102479.0,50664.0,493487.0,1071378.0,831281.0
[Commits] Total lines deleted,5064341.0,59739.0,40864.0,191777.0,25075.0,303082.0,19781.0,,7319061.0,1712123.0,842857.0,4766605.0,1151808.0,1239092.0,423374.0,7550801.0,1623845.0,2622414.0,1305549.0,264230.0,4204225.0,28797581.0,20217.0,7013244.0,39559.0,56905.0,373068.0,1407497.0,36139.0,252958.0,62598.0,573989.0,,54499.0,52250.0,,143702.0,1065640.0,504606.0,156225.0,37547.0,69027.0,743528.0,1952295.0,10008.0,12801.0,72149.0,2934877.0,17090.0,315420.0,679760.0,2279089.0,163927.0,810371.0,37045.0,255022.0,54363.0,1911.0,825714.0,2428226.0,42491.0,12875.0,357163.0,46603.0,224351.0,12563.0,257303.0,11991116.0,1303148.0,1812.0,1330968.0,1802577.0,349887.0,773873.0,82752.0,43218.0,402025.0,581121.0,57555.0,184021.0,115848.0,719261.0,194519.0,27239.0,168618.0,3641798.0,2247533.0,11314.0,134270.0,1373464.0,595573.0,,26180.0,613472.0,154229.0,412052.0,484027.0,859184.0,1299915.0,498041.0,326061.0,268563.0,131296.0,8349.0,24931.0,,47676.0,179815.0,75896.0,91532.0,93093.0,50592.0,213143.0,1262969.0,1196040.0,1983795.0,31101.0,34256.0,101460.0,35877.0,399260.0,50704.0,111609.0,522204.0,95558432.0,45811.0,1025639.0,227873.0,3228.0,1620051.0,32416.0,38560.0,13563.0,386642.0,505776.0,617442.0
[Commits] Average additions,771.7714524517088,90.15611192930781,147.31223628691984,203.28680396643784,235.3015427769986,300.90805223068554,49.978865406006676,,422.0868968807777,119.80956431688735,272.3337200309358,339.57235375305237,93.26861322210159,456.2835494681626,265.229232864276,302.8387242577474,425.8420650095602,457.76838836220986,90.06146193406964,233.77744932432432,277.88436746543323,20679.31879844961,54.59090909090909,288.3632845255757,57.875584658559404,100.72253129346315,134.4198432008651,2025.4920394238059,78.8965873836608,151.88169984686064,49.02762827412989,110.3403901266525,,89.0702846975089,79.9784589892295,,138.17391304347825,277.3754418604651,285.16303960042814,52.428547963206306,10.02636507707823,68.51877551020408,655.3773522614724,204.16874486672143,64.20506329113924,36.044973544973544,134.23585598824394,731.2092382495948,83.75728155339806,226.20950594121325,300.6092177291188,1562.6778908418132,407.8104895104895,224.6674486803519,669.6601307189543,259.7889589905363,84.28641732283465,30.433476394849784,303.1171424913583,155.6530367565862,54.50341827221877,46.536764705882355,105.51995585800994,154.7459283387622,128.91532258064515,136.46611909650923,74.49706047032475,963.3737824675325,228.256242568371,19.061290322580646,492.1869992716679,274.65520293336704,89.09856915739269,190.78262004175366,88.74007490636704,63.15490797546012,175.7831481002843,503.34282907662083,132.3273381294964,166.62825983878616,133.54258241758242,116.89380114758724,1141.0772757039947,45.49325626204239,1142.4948139109213,395.84654709297286,412.43860502838606,35.27427184466019,112.40579710144928,151.06179659266908,699.609375,,82.86818980667839,120.0442522251473,105.51526333445153,294.4898632720415,134.21236210253082,293.30413584398116,270.29228503455306,334.10340022296543,152.18517981438515,210.3975188781014,263.0883392226148,77.08045977011494,133.3743961352657,,65.02024291497976,144.04324127906978,100.87581168831169,171.699935191186,87.76081424936386,118.34829721362229,107.9175293305728,65.49612022961318,237.15995001562013,253.86480730223124,108.08392603129445,73.16075650118204,130.16554261189455,103.75186368477104,127.29415347137638,58.21313868613139,97.43711018711019,474.42703862660943,5909.803942588292,122.73055859802848,298.6255959849435,86.92151384302768,72.79268292682927,218.29502572898798,150.83537414965986,34.774007465218865,208.49382716049382,116.44336951392167,91.0029729041026,229.635635359116
[Commits] Average deletions,470.31398588410104,43.99042709867452,24.63170584689572,48.76099669463514,35.16830294530154,164.89771490750817,22.00333704115684,,218.25791733762748,63.32284192617797,162.9653905645785,253.0313727571929,65.81383920918805,180.54669969401135,192.1806627326373,213.3054888556174,155.24330783938814,428.6390977443609,55.035368012815105,111.58361486486487,206.8702947399498,9301.544250645995,43.75974025974026,226.1898987292782,37.005612722170255,39.57232267037552,100.85644768856447,1067.0940106141015,18.686142709410547,96.84456355283308,22.46071044133477,53.06360358694647,,48.486654804270465,43.28914664457332,,69.42125603864734,198.25860465116278,180.02354620049945,25.661136662286467,5.4094510877395185,28.174285714285713,245.46979201056453,145.7698051220787,25.336708860759494,16.932539682539684,53.011756061719325,237.83444084278767,27.653721682847895,197.2607879924953,120.03531696980399,421.6630897317299,57.31713286713287,158.43030303030304,48.42483660130719,80.44858044164037,53.506889763779526,8.201716738197424,105.71168864421969,76.61227322921596,26.408328154133002,15.778186274509803,65.69118999448226,50.60043431053203,90.46411290322581,25.79671457905544,36.01665733482643,811.0873917748918,129.12683313515657,5.84516129032258,242.34668608885653,227.91465419142747,61.80657127715951,100.9750782881002,61.986516853932585,33.142638036809814,103.9092788834324,570.8457760314342,51.75809352517986,87.25509720246562,79.56593406593407,67.65694666541248,127.3863785199738,26.241811175337187,102.87858450274558,315.5530716575687,364.5633414436334,27.461165048543688,64.86473429951691,70.90676303562209,1033.9809027777778,,46.01054481546573,76.90510216873511,51.73733646427373,194.27251296558228,78.52482154445165,144.44922663080027,147.26577546165174,138.80741360089186,47.28262761020882,144.8559870550162,154.64782096584216,31.988505747126435,60.21980676328502,,38.60404858299595,65.33975290697674,61.603896103896105,59.320803629293586,47.37557251908397,39.1578947368421,73.54830917874396,36.43144777454063,186.82286785379569,201.19624746450305,44.24039829302987,40.491725768321515,62.20723482526058,38.20766773162939,81.05156313438896,37.01021897810219,58.00883575883576,280.1523605150215,5691.05068191293,50.1763417305586,257.37490589711416,57.87985775971552,39.36585365853659,146.25358851674642,44.10340136054422,13.084492704445198,55.81481481481482,91.23218499292119,42.96067272572836,170.56408839779004
[Commits] Average files changed,11.078101783060921,8.315905743740796,4.987341772151899,5.211034833460463,7.903225806451613,12.790533188248096,2.932146829810901,,6.798950319079143,4.817442118499889,9.962877030162414,6.061630746363733,3.002742700417119,12.425032784496576,8.488424875170223,7.838018023107997,7.77112810707457,10.152827721477607,3.2367844195261783,7.2394425675675675,11.1147468385573,172.67248062015503,3.2813852813852815,5.10697929433013,4.31244153414406,3.497913769123783,3.731278723979454,12.083396512509477,4.116856256463288,7.259188361408882,3.562253318980983,5.599057039844689,,5.8612099644128115,5.207125103562552,,7.026570048309178,10.575627906976743,6.02247591865858,4.556668856767411,1.2658118426739662,4.862448979591837,6.2119511389897655,5.2626745314716645,3.8531645569620254,2.4576719576719577,4.647318148420279,6.363047001620745,3.603559870550162,4.568480300187617,6.596856789687445,6.948381128584644,5.895104895104895,5.440664711632453,7.222222222222222,11.565615141955837,4.866141732283465,2.017167381974249,11.874407886314172,6.140653099858022,2.99005593536358,2.8186274509803924,6.013426521979032,4.386536373507058,4.708064516129032,5.225872689938399,4.976623740201568,8.83786525974026,8.09611573523583,2.0451612903225804,8.734705025491625,6.716399039069414,5.0121886592474825,7.171059498956159,5.642696629213483,3.766871165644172,7.076505556991471,9.851669941060903,6.171762589928058,3.6026552868658133,6.719093406593407,5.554698523186906,4.027504911591356,3.131984585741811,9.61378889566809,5.865696213499697,5.998377939983779,2.0970873786407767,5.205797101449275,6.7927723283427985,11.760416666666666,,2.913884007029877,8.208975805440641,4.646427373364642,6.371522866572372,5.330629461388709,7.6607262945527905,8.334428458139799,4.18561872909699,5.702291183294664,4.936353829557713,4.049469964664311,2.5402298850574714,4.043478260869565,,5.859109311740891,3.578488372093023,7.982954545454546,8.56642903434867,5.893638676844784,7.310371517027864,7.197377501725327,4.873712752761993,6.45845048422368,6.692799188640974,5.251778093883357,3.1335697399527187,6.933782955242183,3.4494142705005326,5.269995939910678,4.265693430656935,5.454261954261955,4.991952789699571,22.44720385921029,2.170865279299014,9.755081555834378,5.959105918211836,2.1463414634146343,7.797508350636454,4.078911564625851,2.68985408890397,5.106995884773663,5.376592732420954,4.403805317251337,7.519889502762431
[Commits] Average message length (chars),84.61599182763744,81.60088365243004,37.00060277275467,46.08593948639715,126.5063113604488,56.22742110990207,64.36040044493882,,109.46567662670722,102.10818107848213,219.32424593967517,165.01921647733306,224.52242728986914,204.56403904997813,171.12301407172038,153.69750557925366,72.02877629063097,140.1577312847336,178.8864766883062,341.5249155405405,71.34547064901835,59.13049095607235,61.1948051948052,289.36612268593177,55.871842843779234,213.51390820584146,103.41308461746418,20.817285822592872,101.30248190279214,125.95750382848392,34.2081090778615,77.75150226495332,,23.92526690391459,43.44739022369511,,80.26328502415458,73.30716279069767,29.6464502318944,160.9025952693824,112.99697449935168,109.31673469387755,238.49653350940903,268.4400059732696,61.59240506329114,62.19444444444444,611.5532696546657,194.0580226904376,177.24595469255664,100.39712320200125,256.442698216493,202.863644773358,75.87272727272727,189.72453567937438,65.14509803921568,82.52712933753944,72.98129921259843,59.02575107296137,65.47177057995135,142.83142451490772,71.67184586699814,71.21446078431373,199.34485929740666,61.80238870792617,93.05483870967743,89.2094455852156,88.84980403135498,74.62385010822511,100.30172413793103,41.58709677419355,123.07228696285506,100.68883550385637,135.02314078784667,89.53614300626305,70.21348314606742,62.60889570552147,89.77074179374516,70.27504911591356,74.32194244604317,85.9208155523945,86.80013736263736,270.7349261593453,82.22200392927309,51.08477842003854,308.66625991458204,161.8186465644225,150.94468775344689,58.85679611650485,53.12512077294686,120.30965410428497,50.69097222222222,,87.5536028119508,46.909364422715306,97.32136866823214,104.03441772748704,57.39471122647631,96.76160053799596,76.2901325478645,69.75501672240803,50.77334686774942,100.61974110032362,46.32508833922262,97.0727969348659,67.34541062801932,,57.45748987854251,83.99600290697674,39.60146103896104,65.84445884640311,78.54503816793893,145.36377708978327,104.86887508626639,101.36068883953038,91.01765073414558,94.64553752535497,111.47226173541964,95.2872340425532,106.07480073574494,128.93290734824282,121.20645554202193,72.77810218978102,85.28482328482329,106.37124463519314,47.80543148115061,59.40087623220153,60.09058971141782,214.2255524511049,41.52439024390244,61.21242213595739,70.9156462585034,290.40108585001695,77.13168724279835,76.30108541764983,109.85636626178544,145.8436464088398
[Commits] Per day,5.3096646942800785,3.129032258064516,3.4206185567010308,3.614889705882353,2.090909090909091,3.902335456475584,3.457692307692308,,14.516883116883117,7.618484080022542,4.439484978540772,4.264885669006112,4.964822695035461,3.524910118130457,2.379049676025918,6.09801894918174,4.669642857142857,3.1150712830957232,5.7647630619684085,1.7553743513713862,7.155985915492958,2.040870138431114,3.142857142857143,14.993230174081237,2.5331753554502368,2.0901162790697674,2.8966327329678934,1.9143686502177069,2.606469002695418,2.5912698412698414,5.076502732240437,3.655626900980061,,4.844827586206897,3.279891304347826,,3.026315789473684,7.733812949640288,5.087114337568058,3.26784755770263,4.642809364548495,3.262316910785619,2.5475189234650966,10.069924812030076,2.7241379310344827,2.3848580441640377,1.8268456375838926,7.19533527696793,1.5488721804511278,2.621311475409836,2.9664745940282873,3.7327348066298343,3.071965628356606,2.9161915621436716,2.7617328519855597,3.6104783599088837,3.1455108359133126,2.841463414634146,6.008461538461538,6.80296200901481,3.218,2.503067484662577,4.409570154095702,3.289285714285714,2.3112767940354146,2.7055555555555557,5.2298682284041,5.43329658213892,4.201498751040799,4.492753623188406,5.104089219330855,3.8134040501446482,3.967063770147162,3.5448658649398705,3.041002277904328,3.318066157760814,2.7576621525302922,3.094224924012158,2.9340369393139842,3.4859504132231405,2.604651162790698,3.807664756446991,6.9409090909090905,3.2336448598130842,4.7645348837209305,4.376564277588169,3.879798615481435,3.2440944881889764,3.723021582733813,6.679310344827586,2.451063829787234,,2.8308457711442787,4.176439790575916,4.32656023222061,3.1145374449339207,5.0359477124183005,4.197600564573041,5.765512736773351,3.5844155844155843,4.609625668449198,2.629787234042553,2.4188034188034186,2.211864406779661,2.262295081967213,,2.6847826086956523,3.272294887039239,4.967741935483871,1.9096534653465347,3.2372322899505765,2.197278911564626,2.915492957746479,12.506132756132756,5.033018867924528,3.4188626907073507,3.138392857142857,2.5792682926829267,3.485042735042735,2.5106951871657754,3.257936507936508,3.3012048192771086,2.6392318244170094,3.662082514734774,10.95303326810176,2.3900523560209423,3.5739910313901344,3.6521335807050095,2.8275862068965516,5.289875835721108,2.1060171919770774,3.73510773130545,1.975609756097561,4.30253807106599,4.791615791615792,2.3973509933774833
