,[Commits] Count,[Commits] Days since first,[Commits] Days since last,[Commits] Total lines added,[Commits] Total lines deleted,[Commits] Average additions,[Commits] Average deletions,[Commits] Average files changed,[Commits] Average message length (chars),[Commits] Per day,[Commits] Per day (True),[Commits] Maximum per day,[Contributors] Count,[Contributors Top-10] Average commits,[Contributors Top-10] Average participation weeks,[Contributors Top-10] Average additions,[Contributors Top-10] Average deletions,[Contributors Top-10] Average followers,[Contributors Top-10] Average following,[Contributors Top-10] Average public repositories,[Contributors Top-10] Average teams,[Contributors Top-10] Average stars,[Contributors Top-10] Average watchers,[Contributors Top-10] Average forks,[Forks] Count,[Forks] Per day (True),[Forks] Max per day,[Issues] Total comments,[Issues] Count,[Issues] Open,[Issues] Labels,[Issues] Average participants (beside creator),[Issues] Average assignees,[Issues] Average labels,[Issues] Average reactions,[Issues] Average closing time (days),[Issues] Average comment interval (days),[Issues] Average comments,[Issues] Average comment len (chars),[Issues] Average title len (chars),[Issues] Average body len (chars),[Issues] Per day,[Issues] Per day (True),[Issues] Maximum per day,[Issues] Closed to total,[Issues] Bugs to total,[Repo] Size,[Repo] Folders,[Repo] Files,[Repo] Topics,[Repo] Branches,[Repo] Age (days),[Repo] Workflows,[Repo] Programming Languages,[Repo] Milestones,[Repo] Watchers,[Repo] Deployments,[Repo] Readme length (chars),[Repo] Network members,[Pulls] Count,[Pulls] Closed to total,[Pulls] Total lines added,[Pulls] Total lines deleted,[Pulls] Average lines deleted,[Pulls] Average lines added,[Pulls] Average closing time (days),[Pulls] Average reviewers,[Pulls] Average comments,[Pulls] Average review comments,[Pulls] Average commits,[Pulls] Average assignees,[Pulls] Average body len (chars),[Pulls] Average title len (chars),[Pulls] Average files changed,[Pulls] Average labels,[Pulls] Mergeable to total,[Pulls] Merged to total,[Pulls] Created per day,[Pulls] Created per day (True),[Pulls] Maximum created per day,[Releases] Count,[Releases] Tags,[Releases] Total downloads,[Releases] Average body len (chars),[Releases] Average title len (chars),[Releases] Average assets,[Releases] Average asset downloads,[Releases] Average asset size,[Releases] Prereleases to total,[Releases] Per day created (True),[Releases] Per day published (True),[Releases] Downloads per day (True),[Stars] Count,[Stars] Per day,[Stars] Per day (True),[Stars] Maximum per day,[Workflow Runs] Count,[Workflow Runs] Successful to total,[Workflow Runs] Failed to total,[Workflow Runs] Skipped to total,[Workflow Runs] Average duration (ms),[Workflow Runs] Average success duration (ms),[Workflow Runs] Average failure duration (ms),[Workflow Runs] Average successes per day,[Workflow Runs] Average successes per day (True),[Workflow Runs] Average fails per day,[Workflow Runs] Average fails per day (True),[Contributors Top-100] Average commits,[Contributors Top-100] Average participation weeks,[Contributors Top-100] Average additions,[Contributors Top-100] Average deletions,[Releases] Drafts to total
[Commits] Count,1.0,0.368977930889249,-0.19980241601332263,0.2622879391677374,0.2456349093152053,-0.005800125115786035,0.029139134327081883,-0.0012509970582636496,0.22312630211622878,0.784588482405768,0.4843217557819741,0.16443390045829706,0.5705992620221023,0.7272566186145395,0.7417777554162345,0.2436334600146049,0.2429466105050608,-0.14292265072097848,-0.17431793389880293,0.029437916851208397,,-0.16698367109560755,-0.14834176572170304,-0.17316502820725094,0.20932285511434912,0.15405662624637861,0.04150628769210026,0.66837249264662,0.32129632660973223,0.44177848456930896,0.4610169099750768,0.09805248688790197,0.3415114646046748,0.30114644688136477,-0.05719419171447984,0.08758993847139847,0.030523874152747318,0.15268931506301095,0.26743936995857254,0.34528690377961396,0.21635021146864963,0.42703568027955147,0.43786521071601997,0.07397068312959777,0.12978481072446962,0.24470848516028196,0.35715944056570864,0.3356808475324997,0.18317859031670128,0.13870476254978686,0.1798335031594708,0.14606022964021176,0.2586992293004657,0.19309182313025305,0.20970458920550916,0.12159506818271791,0.14421805795218215,-0.06573403022817592,0.20926907716880633,0.5995252684803654,0.0444620943151049,0.48903358999502894,0.32723849114468206,-0.011613653209684986,0.2750202723210086,-0.09371344889679017,0.1167151600607834,0.25852728170162353,0.3176550536579569,0.21496282452234017,0.18757216950758338,0.2746228034682931,0.40326230628654897,0.11545481541629175,0.22531899996303292,-0.24362155517135708,-0.27541286803176745,0.5109235840131057,0.5410782791069533,0.2401024421718747,0.1313417054881446,0.4483529996964509,0.1130837787839999,0.4761543721139741,-0.01795842159022906,0.20774025402700824,-0.0207048410618541,0.058324734617076546,0.059652858795016535,0.09974091145082112,0.07353189977606849,0.09849805743596621,0.0765931389997429,-0.017526342589123254,0.004069795971440418,0.08472164602411925,0.3568430751595752,0.018475307834800368,0.06320723406954089,0.15961790336311424,0.23966405627045914,0.23887378515440907,0.2097811382408726,0.4640118414911311,0.41389103314389286,0.5046777364985536,0.4792609162246197,0.12206628905511509,0.5814380046494627,-0.14693430318160813,-0.04373144839597372,
[Commits] Days since first,0.0,1.0,-0.0006815183198430308,0.042271864302534844,0.02701367600913045,-0.0004681495978271895,-0.012740831148779188,0.036361009025313994,0.20297019258528573,-0.006344211772471454,0.2349500657472282,-0.0818219594320165,0.15271333046846947,0.39232636712272123,0.37212667104079267,0.020052385910062153,0.024916660788956047,-0.06636531753960453,-0.2185486153749413,0.03951153212914875,,-0.1152770893095202,-0.06366666651370365,-0.10324112301896962,0.008696122759657815,-0.11491828044837883,0.11939513803548774,0.15408940713622782,-0.06703480384003262,0.05196701581185262,0.06937165682131073,0.00874837992165648,0.15623213613884587,0.05927190856986277,-0.29522482902366787,0.34345513918017473,0.3241331360152589,0.17452763324574636,0.22611865008116147,0.327130572005435,0.049689911296473405,-0.07830734378472515,-0.09078069131927574,0.1543816375439383,0.03220264934512942,-0.011523093693304873,0.17218946062597773,0.04126823404507961,0.09868990650017899,-0.1345279101826756,-0.07470006313156297,0.641524683209135,0.07882966175866546,0.02864455443058721,0.024192724808650482,-0.029971093193223674,-0.10746355687683008,-0.19934765881595573,0.006880027067594958,0.10634094608346202,-0.06028386318741626,0.12495461779260546,0.11450601065721507,-0.05080860237866315,0.2468816592708751,0.28375635338112265,-0.059675920698296574,0.2813629990648067,0.17414759523598736,0.2766353361398481,0.12039060193308596,0.051371701472171495,0.44463637824915897,0.07034970150613029,-0.005654347509636791,-0.057668868714230166,-0.20145822084673493,-0.022895525097049844,-0.0013728103568416132,-0.02375394065605336,-0.0856418688857698,0.19240232324667503,-0.07333963619464144,0.16140476054670072,0.10838613156090211,-0.10049108935156491,-0.0011336503943436488,0.023752512741137047,0.1329859617820861,-0.24808610613092388,-0.3147803255931297,-0.09982539550970555,-0.1276723113014558,0.19318478933705976,-0.298894311256703,0.19862541181558188,0.07639197513342547,0.08929387228936742,0.0904027658246536,0.08572232420833151,-0.002818815726908353,0.010966332787520168,-0.002743759478602734,0.016991681965966378,-0.08215609747848837,-0.005672200987952045,-0.08988616935189116,-0.04156732692236185,0.15070851745297822,-0.26097832880073085,-0.13585090219038143,
[Commits] Days since last,0.0,0.0,1.0,-0.09511615119436163,-0.07848393926987719,-0.06248843842388391,-0.07019328185719502,-0.05454703808442714,-0.1610758426463726,-0.06993880051999218,-0.08348469117124457,-0.04848909910420022,-0.31446549601756246,-0.24070178209921259,-0.27112604389037837,-0.09135501188390642,-0.08863783970832108,0.035389008100725934,0.08380164329454089,-0.013312773328781693,,0.04597220271391271,0.05280016522258564,0.055037063153328646,-0.11761169867918642,-0.13101533237013466,-0.034487400465547595,-0.2511193702484619,-0.15664439970037178,-0.12879502215368777,-0.2077322232278478,-0.06811801942680716,-0.05009538205356458,-0.17234028136355534,-0.08442108520616502,-0.06428987676658553,0.1590384889392266,-0.13033757091786968,-0.11505497278080228,-0.18310842604868977,-0.19404009060017094,-0.15488994245879706,-0.16641608261433408,-0.09128085932412545,-0.15267019673204693,-0.1747694012003464,-0.12450216514753805,-0.13538900045097382,-0.09448221610064439,-0.21360728609791374,-0.1253051663329221,0.06235582538509458,-0.26088001467577165,-0.016558971321010686,0.009250180004589785,-0.0764045212835437,-0.07126223703006218,-0.06493865059063499,-0.11849545397682477,-0.20687777365040838,-0.06380004077413662,-0.15522890852320703,-0.11737947896954322,-0.04047433630742919,-0.0919602628795913,0.06929537348275719,-0.12875600428094294,-0.19627163152680482,-0.23960372787685583,-0.07554519683164475,-0.11195635241744639,-0.12769763722653396,-0.10382461587467996,-0.0336840788874874,-0.18056996706267686,0.24392291822783127,0.11461927516798583,-0.17840809819916653,-0.20318622487359883,-0.18417873339837856,-0.06184376190698612,-0.08096912272153234,-0.07657579503595463,-0.09999200601252019,0.11748178687225333,-0.08406481565212874,-0.06753130488649389,-0.059592170566419425,0.02478427809641963,-0.059228572683464424,-0.057863708634686775,-0.08298362909925829,-0.10843270469239774,0.18103711522682947,-0.1314789024815115,0.2108834448181628,-0.1295988926358642,-0.32213629353333145,-0.24636873866297007,-0.06897091760311957,-0.08808996026481614,-0.12026287922977186,-0.11899477839452562,-0.15406422134566797,-0.1372554699175364,-0.1314040318759915,-0.15467914091891113,0.7074187642158435,0.1823210901186579,0.9573754098645856,0.9135351394,
[Commits] Total lines added,0.0,0.0,0.0,1.0,0.9581843032405261,0.7053402456796322,0.8028782646542144,0.5962717708785901,-0.03675698047509831,0.33536025043603773,0.1228518600307644,0.40582328221605046,0.11369486300127567,0.28072377879081223,0.1975507342799767,0.8418466117895445,0.8380327840626092,-0.05777807051710823,-0.11066247259554951,-0.09671513935098588,,-0.07622501932493424,-0.09264869487277397,-0.08278805530199011,0.0038780017459749483,-0.006734915824913403,-0.03628632165947418,0.06799128964377185,0.03834452341162383,0.045398938638662574,0.11652361844159927,0.022752510038485985,0.024355741557271056,0.016508978498617717,-0.026894523682865448,-0.037801507126233,-0.01912960002052345,0.031128404574679882,0.265270749433511,0.16510567729592354,0.06146026401060774,0.013488028997503282,0.026589690099417022,-0.0065745358172563705,0.04230716856273827,0.0019284497603678514,0.5414378954481436,0.18623465862161115,0.5465664180407819,0.03151215653273101,0.08448362552675623,0.04540239275229313,0.05198039812056633,-0.023135300279720914,-0.02448234111623205,-0.006804473998091379,0.09782945161444849,-0.004326033486943793,0.003451474070905998,0.08909915875261892,0.057678750744726316,0.15705537783594772,0.1323170482150816,0.07503072165038827,0.23983595846635591,0.03876602759668544,-0.009042436434590975,0.01864906241901593,0.010386895569363983,-0.006430352369575103,-0.004239854776384135,0.05022767797307485,0.11900570144626878,0.1237856230382436,-0.00945727804013226,-0.11689352959555255,-0.1549600625093772,0.07995608578693172,0.0992230113548884,-0.015634597375453283,-0.025524828489410664,0.15983172224787087,0.0373528917371902,0.08723990214769431,-0.024150848606885225,0.05641223368388094,-0.0020621157074048892,0.07216492568843452,-0.03148227657331265,-0.05111925802939536,-0.058016109232159316,0.027581311817953626,-0.023632844061261097,-0.03843993596931839,-0.024115610072307062,-0.023017117864664708,0.2332675194577952,0.033223262375309405,0.034189629324007945,0.05399326229992797,0.4570519028364537,0.5783565701334883,0.14250728359061277,0.25469744734283,0.18238654408184676,0.11299242412020764,0.047344459519151574,0.730954001470484,0.3252823407832215,0.9966693717601213,0.9888273972146032,
[Commits] Total lines deleted,0.0,0.0,0.0,0.0,1.0,0.506909133896373,0.6735391073758782,0.36408094617684195,-0.04490395859653686,0.34706140754431014,0.10864272497501602,0.4670225427865584,0.09115553772909299,0.2907570937673044,0.18610310313283343,0.9391347592822923,0.9392713332959934,-0.04211851929721184,-0.09040102511371716,-0.06810883469109848,,-0.060193803041561585,-0.06935229325159994,-0.0653581852968586,-0.00027475299092090627,-0.009477039430115203,-0.03226231416100179,0.0453118052688881,0.022150474644680396,0.04018098291114056,0.11051587268668081,0.009033919655010113,-0.011414532208069398,-0.005607321713940597,-0.03057760473024613,-0.02856415448838417,-0.013142594671126467,0.016210399153132934,0.262507726225672,0.11600742793991166,0.04884951366724409,-0.002335271751524265,0.01094166519539744,-0.013153212780351333,0.018983295810192636,9.163138071769895e-05,0.3612249685957461,0.09690846966949664,0.29825924873585913,0.02967363834212778,0.07511832278974034,0.027300600145745257,0.046098530298692326,-0.010880303243317175,-0.015524222983919107,-0.0031179820235442803,0.10539545120173127,-0.008209416481052176,-0.0006341807307969542,0.05996144941605358,0.0627341584025856,0.12517303105540875,0.12841471854123895,0.07947022632041545,0.2521915189660784,0.022628493502746188,-0.012124829457027924,-0.010692847109232262,-0.002009628010511179,-0.011149264644948772,-0.02293481119091696,0.015564173960981939,0.06386700438130154,0.09977471549559451,-0.019533685824798894,-0.09775475033685457,-0.14751158344344578,0.05138730902142055,0.06416851987320919,-0.018557702005147378,-0.016491418619476277,0.08188495289898694,0.036687309372868106,0.057273163920216086,-0.018640858576015672,0.057322487715216426,-0.010884182065332995,0.014377086265864538,-0.03881875081079619,-0.05030624946310929,-0.055854466323299184,0.02491825819400067,-0.016684375112832044,-0.03924410515583878,-0.019070816288377472,-0.02444794461980941,0.13133495937382852,0.0031614410669758134,0.059525131404011056,0.05344855293561634,0.526557275474068,0.6588750623688482,0.16842725338952722,0.13742696856104844,0.0950123762416528,0.13063581028263296,0.02780489140952595,0.7107809103770036,0.34510265265712553,0.9816984851497232,0.998194894676945,
[Commits] Average additions,0.0,0.0,0.0,0.0,0.0,1.0,0.9483903722601392,0.9338135052514716,-0.07309249772246601,0.0030527500289501616,-0.008878554350896366,0.10572667238909006,-0.014222635821160888,-0.0059733081659960495,-0.03813194252717301,0.28342880655892905,0.28437973979705283,-0.05312479765102736,-0.023190128101193492,0.010810875282194588,,-0.04887831219671378,-0.07152651416738912,-0.06520247664059728,-0.02034703752745974,-0.02455577330509851,-0.04805403690565702,-0.007881947727553377,-0.0010649985216987362,-0.032164916683453226,0.0196240522696617,0.023255892132385655,0.048937828323385814,0.02581957036002887,0.017391240884441283,-0.06745340800446468,-0.02359339870438092,0.024202611764641432,0.0814980196751324,0.12596073703473595,0.019458013646974786,-0.024877885445299203,-0.022188493304548487,-0.01649669629396559,0.05350567982831832,-0.0003546211164473191,0.6882630915315777,0.2205905846413619,0.8777364175038016,0.012105322807495506,0.012976902049284257,0.058019641803877677,-0.0019140791856692885,-0.09760149698457143,-0.07376289153411728,-0.03471797163596614,0.012014988911002496,0.0007734404313457693,-0.020730098670102157,-0.03804709091146979,0.013181634312294252,0.0022954568846879726,0.04064275010455482,0.29760712736482886,0.06786470609097747,0.07749927497504806,-0.034511920790613174,-0.020339191559028594,-0.06566704666944767,-0.03442067930005755,-0.0036534437977646145,-0.0157170796983684,0.07539881419647596,0.28920271389226154,-0.06272016656794942,-0.0667304888897676,-0.06728764772041573,-0.05240521238172488,-0.03593964257712399,-0.0707670627342443,-0.03824795888062308,0.21415628011794943,0.022807620494820473,-0.02068738296631406,0.0063416557431196586,0.10294951698064107,0.006595113096531901,0.14160769114474583,0.020053125858217533,-0.015687942025217748,-0.00392454405040739,0.015848123031085962,-0.042161336993093664,-0.002647229437681259,-0.033485114006830095,-0.023051917821092293,0.2598957588961476,0.09457569335540873,0.008450467884017633,-0.005119050252838672,0.09410976599573573,0.14517956691790498,0.0025460055366751506,0.2960786645380416,0.1636487284824126,-0.06832429298256182,-0.06694964270301065,0.7109324718619146,0.2698333158279833,0.99843801612167,0.9801286400565958,
[Commits] Average deletions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.802910489199637,-0.09994824852963746,0.06690273044984107,0.0012265338088152244,0.20942520945577997,-0.015452305183567716,0.04972987833309062,-0.009505825957619297,0.4854094262847717,0.4925462469871329,-0.05312071806328909,0.006926478982360193,0.08356516096518138,,-0.04400839704857537,-0.06172872398462567,-0.06517672738644076,-0.0275839276078299,-0.03450616234818204,-0.05222272973811906,-0.01832625796720681,-0.011628750905962566,-0.03394556077060253,0.029687692406967517,0.0034771210295208308,0.049571605059045114,0.018118668599691905,0.010149521669643714,-0.07398140391857368,-0.023279732600426713,0.011299573403128479,0.08673027926929935,0.09393091976049524,0.006790754094382026,-0.03487370427999611,-0.03183711793536807,-0.0214428847141793,0.047930700443277324,0.008489633012089945,0.5981266758143031,0.1530522766859645,0.7201742911601979,0.019115484340815548,0.020340334922063406,0.04395596163851837,0.002092836028344155,-0.08909922827039174,-0.07601717079120708,-0.03722586577543561,0.03557308713016373,-0.013106314622559087,-0.02800970840537041,-0.04261151549790731,0.04030677743224683,0.01077071609774522,0.07442530471626381,0.4524482424633734,0.11320341644541305,0.04756947681102404,-0.051252869132336044,-0.052602750408815596,-0.08432967278082097,-0.03618758079456989,-0.024186166843986896,-0.029470244431148755,0.04665303350368795,0.37447196859733023,-0.08152152468990718,-0.0820772147162497,-0.06379497792170026,-0.05633374375357217,-0.04285187678486646,-0.08117291429776725,-0.026295404073687197,0.1698059145737269,0.032993664189386165,-0.02283636813976396,0.007517918983754269,0.12218249541598084,-0.00434011562038046,0.032556676185686494,-0.0334445981201415,-0.022096272645208484,-0.013501659237605962,0.020564353545226257,-0.044715946063670936,-0.005833222676065662,-0.042519699671924836,-0.0284784573731109,0.21239229920487326,0.06735643200705176,0.04527771590559475,0.004897548851731322,0.20942523448495495,0.28597707190760435,0.0415750205816256,0.2352872446142373,0.12638646415087762,-0.035934184676288713,-0.0654989962955512,0.7084034524312931,0.2952769457748656,0.9911963685594612,0.9938814405611317,
[Commits] Average files changed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.06042040121157674,-0.03237214561629078,0.0025517297102521596,0.02990307548547159,0.02274262284770704,-0.022768578144190282,-0.034912103274784355,0.11578388993419952,0.11456186038637747,-0.04799011719964296,-0.07050777700169178,-0.1076642259587922,,-0.056219659461210804,-0.08227216811386352,-0.060188373416312425,0.007629897235666981,0.005150727654850863,-0.025874971082232395,0.02409191508817952,0.023321921260413075,-0.00860502672412061,0.024011053244257476,0.0548828280687881,0.048824562678666104,0.061165314776722636,-0.006792989597967131,-0.04646814268070198,-0.012626151096332009,0.047414277571626216,0.06910066306155012,0.1830137530237063,0.05350710144126103,0.003864040461832346,0.007246048712387865,-0.015250368404113576,0.07962256637345169,-0.0053562716334315365,0.7334465897706044,0.2865568874523401,0.9535005314420836,0.01810770556689112,0.01362887045052688,0.09299656658638987,2.4096285209254364e-05,-0.11638325203367533,-0.04068602593395544,-0.015584783515029309,-0.0013457601057387965,0.014996023987610374,0.007510105554104988,-0.01499869582174027,0.0050862475397785035,0.002077664741205358,0.004187767536591921,0.017272032928695946,0.014990579016170204,0.08214471497333654,-0.03900317575732713,0.029181004165816708,-0.02792087581566257,-0.02324567098086309,0.03466933884728277,0.00909918314593115,0.1131313975842719,0.12025964262043115,-0.04279272438823099,-0.06760727215162209,-0.06734412107985334,-0.028343977941635304,-0.013563014466675651,-0.031829676495865024,-0.028816854657036504,0.2528510463169718,0.04283610882374327,0.01046374178544315,0.1305700496195132,-0.07566142163250582,0.11536399329243868,0.08099960183269643,0.0736291518815772,0.016618618851222747,-0.0029904864066816507,0.05594068370715151,-0.03320497223819757,0.02805263541819141,-0.014635254233128113,-0.020304441717593404,0.29402572372615887,0.10797807282408499,-0.034590625534622964,-0.007105187805693878,0.043391667414249165,0.07011959867153003,0.012641537761775921,0.33662779201296106,0.19612044294919762,-0.05114594560142725,-0.03862001454247775,0.6957615474866706,0.5986389609131665,0.8462322974712949,0.8373974582074075,
[Commits] Average message length (chars),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0900245058742956,0.09738423977132007,0.13332705191026561,0.2498569667798797,0.19114407345361065,0.32386516741927246,-0.008648547459588358,-0.02150716788651634,-0.06500772439936406,-0.17602676008624818,-0.060323507039475366,,-0.10701547706555116,-0.09487322577981203,-0.10121428169196676,0.06643304267250606,0.017600500486695175,-0.03493855052471796,0.2615398512188415,0.0691802611545154,0.12841650350059516,0.1893386953889053,0.1997725848281544,0.2546370939864432,0.19702551173895466,-0.020970945897148287,0.0796048300040575,-0.052943267154395894,0.27092200166237135,0.29093005665457333,0.38085004226173036,0.16077228610630567,0.10591155258675515,0.108641682040673,0.18921886892060577,0.07567081374038816,0.10902687598474732,0.06350205054454511,0.2008694886863902,0.03841721569622043,-0.12572690409365966,0.021444512639365827,0.0542463596164151,0.06287410880129021,0.17355101845887835,0.008279640431463363,0.053864193564794445,0.030694042626098452,-0.11486093153011907,0.06878633812122807,0.23604426226925754,0.10859488271976016,0.22332115082780876,0.1660247060737987,-0.051279029439632536,0.1470058260158223,-0.03465377355427939,0.3027535716850978,0.1894633539897965,0.3224510551028292,0.13039301714684312,0.1130456721454596,0.22759370282332758,0.34027854576351296,-0.01211591073545481,0.36738259161659303,-0.1796837357603517,-0.24916632387527632,0.2133924000670535,0.20458406191406717,0.23025132871001336,-0.04619151304168338,0.03598598896661922,0.047518164046580595,0.061738992579465655,0.041911836319024155,0.13369263576330007,-0.033057139151112726,0.1433782733660468,0.06200028476306977,-0.026341892690762723,3.235612892895071e-05,0.047545039446092965,0.011770007149068841,-0.10697526649681072,-0.02425623677892274,-0.027812709122114355,0.0643992028481984,0.11516650789960513,0.13354703634718212,-0.018868725957765422,0.07914142602907404,-0.014008296616785007,0.18923427306180485,0.05693341669503422,0.0639968810831398,0.018032067721371142,0.10157043900094363,-0.6079642742459963,0.000828061811361189,-0.6638130477886501,-0.5400117133204506,
[Commits] Per day,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26526479088249894,0.36587697336215336,0.43296627552298533,0.5187423436925588,0.4859941012065196,0.3528811279997395,0.3486636651718999,-0.12112708153601301,-0.13846481517186982,-0.012778889773654729,,-0.11992915370133932,-0.12346086032378453,-0.14414086138792007,0.17550840674523743,0.15022674305009204,-0.0019069721812267429,0.46820360107234094,0.39153468346687725,0.4066912655990254,0.32932613837905367,0.04348058774346446,0.2599121116711576,0.20572831368320232,0.0342986331829625,0.010720706905615428,-0.03015068473912525,0.07077209951472226,0.1526920730620925,0.11485701292153261,0.1094649637181104,0.40737563391053394,0.40862411402247006,-0.017830368491105867,0.03964638120433813,0.24136550213869618,0.2531587089635643,0.331642490983852,0.11372179467716993,0.16123068307352406,0.20885926365840177,-0.030343830654766073,0.23794294910972535,0.14876682338006975,0.3176682274018004,0.10580855442297193,0.22581405496463378,-0.008364861376728807,0.17592727321012,0.5235245644443424,0.09206365754199897,0.4694631502499003,0.2474988460397802,-0.0028885152713742247,0.1826585056088973,-0.1489074677072369,0.13893895927508446,0.117173915217701,0.16851231295491786,0.13004986174089134,0.1818053218772405,0.3081494784354969,0.11422120453391674,0.07554943456990787,0.22174943142814976,-0.2071368380409823,-0.21133558447131962,0.5307802461537394,0.5329888258880662,0.246359190803437,0.14840815712422362,0.2503652252839188,0.18172879349241428,0.27688178568006705,0.002802987080200315,0.21740356063446134,0.011956609179012314,0.017694221177157198,0.07217248012388812,0.10289144742848372,0.10846184734329781,0.185266583000293,0.11387863171786107,-0.10009656495395987,0.09898715122448275,-0.046111097828172146,0.36462521429224387,-0.10050404264851724,0.036259044931569964,0.15201002702179006,0.36557584015982625,0.3568077571994823,0.31416825261839404,0.5409791931742752,0.5056616500659243,0.5993839893271499,0.5714171408010404,-0.4575295490145525,-0.4916594137333058,-0.6092792776058138,-0.6385544834320926,
